id,name,pitches,rv_tot,pct_tot,rv_11,pct_11,rv_12,pct_12,rv_13,pct_13,rv_14,pct_14,rv_16,pct_16,rv_17,pct_17,rv_18,pct_18,rv_19,pct_19,season
435559,"Suzuki, Kurt",5388,-5.2503797784107125,0.4728796844181459,1,0.2847222222222222,-1,0.4751381215469613,0,0.2386363636363636,0,0.6792452830188679,-2,0.6128266033254157,0,0.3426573426573426,-2,0.4636118598382749,-2,0.171875,2019
572287,"Zunino, Mike",5573,2.564438475021211,0.4933201385452746,0,0.2185430463576159,2,0.5492957746478874,0,0.2447552447552447,-1,0.6458333333333334,1,0.6944444444444444,0,0.3008130081300813,1,0.5277044854881267,-1,0.2105263157894736,2019
595751,"Alfaro, Jorge",8588,-1.074310152166276,0.4743183259353202,2,0.2845188284518828,1,0.4829268292682926,0,0.2171717171717171,2,0.6602870813397129,-4,0.5972696245733788,0,0.3584905660377358,-1,0.4906937394247039,-2,0.1958762886597938,2019
543510,"McCann, James",7896,-10.125405874128436,0.4483795522886735,0,0.219626168224299,2,0.5112219451371571,1,0.2640449438202247,1,0.6584070796460177,-1,0.6356275303643725,-3,0.2008547008547008,-5,0.4395424836601307,-3,0.1389830508474576,2019
543877,"Vázquez, Christian",8829,13.251499716653676,0.511842509996924,1,0.2448979591836734,6,0.5533333333333333,3,0.28,1,0.6572504708097928,3,0.7099337748344371,0,0.3076923076923077,-1,0.471326164874552,0,0.2804878048780488,2019
519390,"Vogt, Stephen",3967,-1.9468577798834592,0.4545454545454545,-1,0.1546391752577319,-3,0.3114754098360656,1,0.2222222222222222,0,0.6491935483870968,0,0.6354515050167224,0,0.3137254901960784,0,0.5020080321285141,1,0.2818791946308724,2019
518595,"d'Arnaud, Travis",5481,-0.3169718151095166,0.48712967459932,0,0.2160493827160493,4,0.5708812260536399,0,0.2551020408163265,-2,0.6291866028708134,-1,0.6287262872628726,-1,0.2684563758389262,0,0.51338199513382,-1,0.2513089005235602,2019
488771,"Castro, Jason",5469,2.222209768827311,0.4995159728944821,-1,0.1691176470588235,-2,0.4372623574144487,0,0.2045454545454545,0,0.6573816155988857,2,0.6860215053763441,1,0.3305785123966942,1,0.5208333333333334,2,0.324,2019
595978,"Hedges, Austin",7094,22.65287301204703,0.5385762206485277,0,0.2333333333333333,-1,0.4776119402985074,1,0.2339181286549707,2,0.6405622489959839,1,0.6818950930626058,3,0.4414414414414414,8,0.6194503171247357,4,0.3991769547325103,2019
519222,"Romine, Austin",4912,-0.2454183062242244,0.4875541125541126,0,0.2276422764227642,0,0.4619565217391304,1,0.253012048192771,2,0.7109375,-3,0.6261398176291794,1,0.3793103448275862,0,0.4659949622166247,-1,0.2126436781609195,2019
608348,"Kelly, Carson",6885,5.06087824859076,0.522815158546017,1,0.2222222222222222,-1,0.4509803921568627,0,0.1826923076923076,2,0.6963249516441006,0,0.6820083682008368,1,0.3858921161825726,2,0.5439560439560439,2,0.3698630136986301,2019
592407,"Holaday, Bryan",2655,-4.567961594759671,0.4384384384384384,0,0.1805555555555555,-1,0.3669724770642202,0,0.1463414634146341,-2,0.5879396984924623,1,0.671957671957672,0,0.3378378378378378,-1,0.4166666666666667,0,0.2252252252252252,2019
605131,"Barnes, Austin",4032,4.183770252018686,0.5166880616174583,-1,0.15,-2,0.3620689655172414,-1,0.1710526315789473,-2,0.6145454545454545,1,0.6949152542372882,0,0.3595505617977528,5,0.6328767123287671,3,0.4512195121951219,2019
595284,"Knapp, Andrew",2601,-0.1581761389056211,0.5169230769230769,1,0.3508771929824561,1,0.6226415094339622,0,0.2941176470588235,2,0.7272727272727273,-2,0.5781990521327014,0,0.3424657534246575,-1,0.4784688995215311,-1,0.2469135802469135,2019
455104,"Iannetta, Chris",3191,-3.6017540834360653,0.4681708299758259,1,0.2363636363636363,0,0.5342465753424658,0,0.3023255813953488,2,0.7478260869565218,-2,0.6075949367088608,0,0.3536585365853658,-4,0.3387096774193548,-1,0.2413793103448276,2019
543228,"Gomes, Yan",6847,-2.6297133275466473,0.4789818742768993,0,0.2108433734939759,-2,0.3761467889908257,-1,0.1704545454545454,6,0.7210526315789474,-4,0.6111111111111112,1,0.3669064748201439,0,0.5016611295681063,-2,0.1927272727272727,2019
592663,"Realmuto, J.T.",10095,4.892329284165526,0.5037573805689748,1,0.2105263157894736,-2,0.3836477987421384,-1,0.2371794871794871,7,0.7473544973544973,-4,0.6323319027181689,2,0.4019607843137255,0,0.5097560975609756,0,0.2727272727272727,2019
435263,"McCann, Brian",5765,5.33254670224814,0.4955503512880562,1,0.238095238095238,-1,0.4065934065934066,-1,0.1555555555555555,5,0.7518248175182481,-2,0.6413301662707839,2,0.4171122994652406,1,0.4796573875802998,0,0.2352941176470588,2019
452095,"Flowers, Tyler",6194,13.90707941241273,0.5298042704626335,0,0.2258064516129032,2,0.5427350427350427,-1,0.1170212765957446,0,0.6477272727272727,1,0.684331797235023,2,0.3507109004739336,6,0.6227272727272727,4,0.3505535055350554,2019
608700,"Plawecki, Kevin",3479,4.022847061170365,0.53515625,0,0.2121212121212121,-1,0.4539877300613497,0,0.2153846153846154,-1,0.6387434554973822,3,0.7946428571428571,-1,0.3088235294117647,1,0.5375494071146245,1,0.2681159420289855,2019
606988,"Greiner, Grayson",4519,-2.6601611103829463,0.4757519950890116,1,0.2551020408163265,-2,0.4011299435028249,0,0.2068965517241379,1,0.6435045317220544,-1,0.6883116883116883,0,0.3050847457627119,0,0.4984894259818731,-2,0.1955307262569832,2019
431145,"Martin, Russell",3954,5.747971852876569,0.5336963921034718,1,0.2479338842975206,2,0.5368421052631579,0,0.225,1,0.7003154574132492,1,0.7517985611510791,0,0.3727272727272727,-1,0.50390625,0,0.282051282051282,2019
465041,"Cervelli, Francisco",2664,-1.2105984646011407,0.4742574257425742,1,0.2686567164179104,-1,0.4344262295081967,0,0.1081081081081081,0,0.671875,-1,0.6055555555555555,0,0.4,0,0.4743589743589743,0,0.2346938775510204,2019
621512,"Nido, Tomás",2759,4.33140154178716,0.5054401582591493,0,0.1666666666666666,-1,0.4326923076923077,0,0.22,-1,0.6,3,0.7741935483870968,0,0.2575757575757575,0,0.4842105263157895,2,0.3983050847457627,2019
624431,"Trevino, Jose",2757,-1.2940845588486427,0.4763285024154589,1,0.2533333333333333,1,0.5652173913043478,0,0.2372881355932203,1,0.7089201877934272,-1,0.6296296296296297,0,0.2584269662921348,-1,0.4148936170212766,-1,0.1309523809523809,2019
643396,"Kiner-Falefa, Isiah",2758,-9.497824692286692,0.4263775971093044,0,0.1944444444444444,-2,0.376,-1,0.108695652173913,-1,0.6529680365296804,-2,0.5342465753424658,-1,0.2025316455696202,-1,0.4684684684684684,-1,0.208,2019
592200,"Casali, Curt",4466,1.990766487300366,0.4871638141809291,-1,0.0759493670886076,0,0.50920245398773,0,0.2222222222222222,-3,0.6567164179104478,1,0.670299727520436,0,0.3211009174311927,3,0.5071225071225072,1,0.2522935779816513,2019
571466,"Barnhart, Tucker",6873,5.242740558078788,0.4898305084745762,-1,0.106060606060606,-1,0.4528301886792453,0,0.2371794871794871,-3,0.6189189189189189,5,0.687374749498998,0,0.3058823529411765,4,0.5819327731092437,1,0.2876712328767123,2019
518735,"Grandal, Yasmani",9798,16.098148497388035,0.5104591143710948,0,0.199074074074074,2,0.5145888594164456,2,0.3163841807909605,-6,0.5844155844155844,7,0.7254374158815612,0,0.3255033557046979,6,0.5566502463054187,3,0.3122171945701357,2019
572033,"Phegley, Josh",6965,-9.21165938481783,0.4585531273549359,-1,0.1890243902439024,-1,0.4417808219178082,-1,0.1875,1,0.673773987206823,-1,0.5966101694915255,-2,0.2865168539325842,-3,0.4347826086956521,-1,0.2633451957295373,2019
607732,"Stallings, Jacob",3953,4.714966406710748,0.5057553956834533,0,0.1805555555555555,-1,0.3884892086330935,-1,0.108695652173913,-1,0.651685393258427,2,0.6784313725490196,1,0.4466019417475728,2,0.5246913580246914,3,0.3695652173913043,2019
553882,"Narváez, Omar",7424,-9.781473122361447,0.4665486725663716,0,0.1955307262569832,-1,0.4291497975708502,0,0.30625,-2,0.5882352941176471,-3,0.6471544715447154,0,0.3303571428571428,-2,0.457975986277873,-1,0.2724137931034482,2019
642336,"Mejía, Francisco",3936,-2.998602346680686,0.4721141374837873,0,0.1648351648351648,-2,0.3652694610778443,-1,0.1382978723404255,-1,0.6185567010309279,0,0.704119850187266,0,0.3308270676691729,2,0.550314465408805,1,0.287292817679558,2019
